spread_line,result,normalized_modeled_prob
-14.5,-15,0.0419716
-14.5,-14,0.0846573
-14.5,-13,0.0378363
-14.5,-12,0.0088944
-14.5,-11,0.0223511
-14.5,-10,0.0466976
-14.5,-9,0.0228994
-14.5,-8,0.0184605
-14.5,-7,0.0349611
-14.5,-6,0.0169379
-14.5,-5,0.0058702
-14.5,-4,0.0128522
-14.5,-3,0.0251273
-14.5,-2,0.0123555
-14.5,-1,0.0040717
-14.5,0,0.0007563
-14.5,1,0.0034655
-14.5,2,0.0084922
-14.5,3,0.0164503
-14.5,4,0.0079780
-14.5,5,0.0027761
-14.5,6,0.0062070
-14.5,7,0.0122568
-14.5,8,0.0060365
-14.5,9,0.0051780
-14.5,10,0.0099029
-14.5,11,0.0045725
-14.5,12,0.0013118
-14.5,13,0.0035749
-14.5,14,0.0075453
-14.5,15,0.0035267
-14.5,16,0.0030404
-14.5,17,0.0062242
-14.5,18,0.0027121
-14.5,19,0.0005760
-14.5,20,0.0021544
-14.5,21,0.0048934
-14.5,22,0.0021870
-14.5,23,0.0019042
-14.5,24,0.0041354
-14.5,25,0.0017299
-14.5,26,0.0002740
-14.5,27,0.0014054
-14.5,28,0.0033502
-14.5,29,0.0014619
-14.5,30,0.0012871
-14.5,31,0.0028867
-14.5,32,0.0011854
-14.5,33,0.0001586
-14.5,34,0.0009815
-14.5,35,0.0023879
-14.5,36,0.0009762
-14.5,37,0.0000705
-14.5,38,0.0000044
-14.5,39,0.0000028
-14.5,40,0.0000021
-14.5,41,0.0000016
-14.5,42,0.0000012
-14.5,43,0.0000009
-14.5,44,0.0000006
-14.5,45,0.0000005
-14.5,46,0.0000003
-14.5,47,0.0000002
-14.5,48,0.0000002
-14.5,49,0.0000001
-14.5,50,0.0000001
-14.5,51,0.0000001
-14.5,52,0.0000000
-14.5,53,0.0000000
-14.5,54,0.0000000
-14.5,55,0.0000000
-14.5,56,0.0000000
-14.5,57,0.0000000
-14.5,58,0.0000000
-14.5,59,0.0000000
-14.5,60,0.0000000
-14.5,61,0.0000000
-14.5,62,0.0000000
-14.5,63,0.0000000
-14.5,64,0.0000000
-14.5,65,0.0000000
-14.5,66,0.0000000
-14.5,67,0.0000000
-14.5,68,0.0000000
-14.5,69,0.0000000
-14.5,70,0.0000000
-14.5,71,0.0000000
-14.5,72,0.0000000
-14.5,73,0.0000000
-14.5,74,0.0000000
-14.0,-75,0.0000003
-14.0,-74,0.0000004
-14.0,-73,0.0000005
-14.0,-72,0.0000007
-14.0,-71,0.0000010
-14.0,-70,0.0000013
-14.0,-69,0.0000018
-14.0,-68,0.0000023
-14.0,-67,0.0000031
-14.0,-66,0.0000041
-14.0,-65,0.0000054
-14.0,-64,0.0000071
-14.0,-63,0.0000092
-14.0,-62,0.0000119
-14.0,-61,0.0000154
